Ativo,Nome
GGPS3,GPS
GMAT3,Grupo Mateus
GNDI3,NotreDame Intermédica
GOAU3,Metalúrgica Gerdau
GOAU4,Metalúrgica Gerdau
GOLL4,GOL
GPAR3,CELGPAR
GPCP3,GPCP3
GPCP4,GPCP4
GRND3,Grendene
GSHP3,General Shopping & Outlets
GUAR3,Guararapes
HAGA3,Haga
HAGA4,Haga
HAPV3,Hapvida
HBOR3,Helbor
HBRE3,HBR Realty
HBSA3,Hidrovias do Brasil
HBTS5,Habitasul
HETA3,Hercules
HETA4,Hercules
HGTX3,Hering
HOOT4,Hotéis Othon
HYPE3,Hypera
IFCM3,Infracommerce
IGBR3,IGB S/A
IGTA3,Iguatemi
IGTI3,IGTI3
IGTI4,IGTI4
INEP3,Inepar
INEP4,Inepar
INTB3,Intelbras
IRBR3,IRB Brasil RE
ITSA3,Itaúsa
ITSA4,Itaúsa
ITUB3,Itaú Unibanco
ITUB4,Itaú Unibanco
JALL3,Jalles Machado
JBDU3,Blue Tech Solutions
JBDU4,Blue Tech Solutions
JBSS3,JBS
JFEN3,João Fortes
JHSF3,JHSF
JOPA3,Josapar
JOPA4,Josapar
JPSA3,Jereissati Participações
JSLG3,JSL
KEPL3,Kepler Weber
KLBN3,Klabin
KLBN4,Klabin
KRSA3,Kora Saúde
LAME3,Lojas Americanas
LAME4,Lojas Americanas
LAND3,Terra Santa
LAVV3,Lavvi Incorporadora
LCAM3,Locamerica
LEVE3,Mahle Metal Leve
LIGT3,Light
LINX3,Linx
LIPR3,Eletropar
LJQQ3,Lojas Quero-Quero
LLIS3,LE LIS BLANC
LOGG3,LOG CP
LOGN3,Log-In
LPSB3,Lopes
LREN3,Lojas Renner
LUPA3,Lupatech
LUXM3,Trevisa
LUXM4,Trevisa
LVTC3,WDC Networks
LWSA3,Locaweb
MAPT3,Cemepe
MAPT4,Cemepe
MATD3,Mater Dei
MBLY3,Mobly
MDIA3,M. Dias Branco
MDNE3,Moura Dubeux
MEAL3,IMC Alimentação
MELK3,Melnick
MERC3,Mercantil do Brasil Financeira
MERC4,Mercantil do Brasil Financeira
MGEL3,Mangels
MGEL4,Mangels
MGLU3,Magazine Luiza
MILS3,Mills
MLAS3,Multilaser
MMAQ4,Minasmáquinas
MMXM3,MMX Mineração
MNDL3,Mundial
MNPR3,Minupar
MOAR3,Monteiro Aranha
MODL3,Banco Modal
MODL4,Banco Modal
MOSI3,Mosaico
MOVI3,Movida
MRFG3,Marfrig
MRSA3B,MRS Logística
MRSA5B,MRS Logística
MRSA6B,MRS Logística
MRVE3,MRV
MSPA3,Melhoramentos
MSPA4,Melhoramentos
MTIG3,Metalgráfica Iguaçu
MTIG4,Metalgráfica Iguaçu
MTRE3,Mitre Realty
MTSA3,METISA
MTSA4,METISA
MULT3,Multiplan
MWET3,Wetzel
MWET4,Wetzel
MYPK3,Iochpe-Maxion
NEOE3,Neoenergia
NEXP3,NEXP3
NGRD3,Neogrid
NINJ3,GetNinjas
NORD3,Nordon
NTCO3,Natura
ODER4,Conservas Oderich
ODPV3,Odontoprev
OFSA3,Ourofino Saúde Animal
OIBR3,Oi
OIBR4,Oi
OMGE3,Omega Geração
ONCO3,Oncoclínicas
OPCT3,OceanPact
ORVR3,Orizon
OSXB3,OSX BRASIL
PARD3,Hermes Pardini
PATI3,Panatlântica
PATI4,Panatlântica
PCAR3,Grupo Pão de Açúcar
PDGR3,PDG Realty
PDTC3,Padtec
PEAB3,Participações Aliança da Bahia
PEAB4,Participações Aliança da Bahia
PETR3,Petrobras
PETR4,Petrobras
PETZ3,Petz
PFRM3,Profarma
PGMN3,Pague Menos
PINE4,PINE
PLAS3,Plascar
PLPL3,Plano&Plano
PMAM3,Paranapanema
PNVL3,Dimed
PNVL4,Dimed
POMO3,Marcopolo
POMO4,Marcopolo
PORT3,Wilson Sons
POSI3,Positivo
POWE3,Focus Energia
PRIO3,PetroRio
PRNR3,PRINER
PSSA3,Porto Seguro
PTBL3,Portobello
PTNT3,Pettenati
PTNT4,Pettenati
QUAL3,Qualicorp
RADL3,RaiaDrogasil
RAIL3,Rumo
RAIZ4,Raízen
RANI3,Irani
RAPT3,Randon
RAPT4,Randon
RCSL3,Recrusul
RCSL4,Recrusul
RDNI3,RNI
RDOR3,Rede D'Or
RECV3,PetroRecôncavo
REDE3,Rede Energia
RENT3,Localiza
RNEW3,Renova Energia
RNEW4,Renova Energia
ROMI3,Indústrias ROMI
RPAD3,Alfa Holdings
RPAD5,Alfa Holdings
RPAD6,Alfa Holdings
RPMG3,Refinaria de Manguinhos
RRRP3,3R Petroleum
RSID3,Rossi Residencial
RSUL4,Metalúrgica Riosulense
SANB3,Banco Santander
SANB4,Banco Santander
SAPR3,Sanepar
SAPR4,Sanepar
SBFG3,Grupo SBF
SBSP3,Sabesp
SCAR3,São Carlos
SEER3,Ser Educacional
SEQL3,Sequoia Logística
SGPS3,SPRINGS
SHOW3,Time For Fun
SHUL4,Schulz
SIMH3,Simpar
SLCE3,SLC Agrícola
SLED3,Saraiva
SLED4,Saraiva
SMFT3,Smart Fit
SMLS3,Smiles
SMTO3,São Martinho
SNSY3,Sansuy
SNSY5,Sansuy
SNSY6,Sansuy
SOJA3,Boa Safra Sementes
SOMA3,Grupo Soma
SOND3,Sondotécnica
SOND5,Sondotécnica
SOND6,Sondotécnica
SQIA3,Sinqia
STBP3,Santos Brasil
SULA3,SulAmérica
SULA4,SulAmérica
SUZB3,Suzano
SYNE3,SYN
TAEE3,Taesa
TAEE4,Taesa
TASA3,Taurus
TASA4,Taurus
TCNO3,Tecnosolo
TCNO4,Tecnosolo
TCSA3,Tecnisa
TECN3,Technos
TEKA3,Teka
TEKA4,Teka
TELB3,Telebrás
TELB4,Telebrás
TEND3,Construtora Tenda
TESA3,Terra Santa
TFCO4,Track & Field
TGMA3,Tegma
TIET3,AES Tietê Energia
TIET4,AES Tietê Energia
TIMS3,TIM
TKNO3,Tekno
TKNO4,Tekno
TOTS3,Totvs
TPIS3,Triunfo
TRAD3,Traders Club
TRIS3,Trisul
TRPL3,Transmissão Paulista
TRPL4,Transmissão Paulista
TTEN3,3tentos
TUPY3,Tupy
UCAS3,Unicasa
UGPA3,Ultrapar
UNIP3,Unipar
UNIP5,Unipar
UNIP6,Unipar
USIM3,Usiminas
USIM5,Usiminas
USIM6,Usiminas
VALE3,Vale
VAMO3,Grupo Vamos
VBBR3,VBBR3
VIIA3,Via
VITT3,Vittia
VIVA3,Vivara
VIVR3,Viver
VIVT3,Vivo
VLID3,Valid
VSPT3,FCA
VSTE3,VSTE3
VULC3,Vulcabras
VVAR3,VVAR3
VVEO3,Viveo
WEGE3,WEG
WEST3,Westwing
WHRL3,Whirlpool
WHRL4,Whirlpool
WIZS3,Wiz Soluções
WLMM3,WLM
WLMM4,WLM
YDUQ3,YDUQS
ZAMP3,ZAMP3
